"export-plot data (NetLogo 6.2.0)"
"INDIVIDUAL BASED RENESTING MODEL (YELLOWHAMMER SETUP).nlogo"
"08/23/2022 10:32:33:585 +0100"

"MODEL SETTINGS"
"build-duration-max","clutch-mode","observed-nest-initiations-per-day","include-observed-nest-initiations?","produce-r-outputs?","chick-duration","probability-mode","egg-dsp-mean","chick-dsp-sd","fledglings-per-hatchling-mean","clutch-sd","season-start-mean","success-inter-attempt-interval","season-start-sd","hatchlings-per-egg-sd","clutch-mean","egg-duration","fail-inter-attempt-interval","fledglings-per-hatchling-sd","renesting-probability-file","egg-dsp-sd","build-duration-min","chick-dsp-mean","hatchlings-per-egg-mean"
"10","""real""","""BLACK REDSTART OBSERVED NEST INITIATIONS.csv""","true","false","17","""probability-scale""","0.993","0","0.961","0.05","129","10","10","0","4.7","17","13","0","""BLACK REDSTART OBSERVED RE-NESTING PROBABABILITY.csv""","0","5","0.993","0.961"

"""Simulated nest initiations per day - by attempt"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","365","0","425","true","""1st""","true","6"

"pen name","pen down?","mode","interval","color","x"
"""1st""","true","2","1","15","364"
"""2nd""","true","0","1","0","364"
"""3rd""","true","0","1","55","364"
"""4th""","true","0","1","105","364"
"""5th""","true","0","1","25","364"
"""6th""","true","0","1","135","364"

"""1st""",,,,"""2nd""",,,,"""3rd""",,,,"""4th""",,,,"""5th""",,,,"""6th"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true","0","0","0","true","0","0","55","true","0","0","105","true","0","0","25","true","0","0","135","true"
"1","0","15","true","1","0","0","true","1","0","55","true","1","0","105","true","1","0","25","true","1","0","135","true"
"2","0","15","true","2","0","0","true","2","0","55","true","2","0","105","true","2","0","25","true","2","0","135","true"
"3","0","15","true","3","0","0","true","3","0","55","true","3","0","105","true","3","0","25","true","3","0","135","true"
"4","0","15","true","4","0","0","true","4","0","55","true","4","0","105","true","4","0","25","true","4","0","135","true"
"5","0","15","true","5","0","0","true","5","0","55","true","5","0","105","true","5","0","25","true","5","0","135","true"
"6","0","15","true","6","0","0","true","6","0","55","true","6","0","105","true","6","0","25","true","6","0","135","true"
"7","0","15","true","7","0","0","true","7","0","55","true","7","0","105","true","7","0","25","true","7","0","135","true"
"8","0","15","true","8","0","0","true","8","0","55","true","8","0","105","true","8","0","25","true","8","0","135","true"
"9","0","15","true","9","0","0","true","9","0","55","true","9","0","105","true","9","0","25","true","9","0","135","true"
"10","0","15","true","10","0","0","true","10","0","55","true","10","0","105","true","10","0","25","true","10","0","135","true"
"11","0","15","true","11","0","0","true","11","0","55","true","11","0","105","true","11","0","25","true","11","0","135","true"
"12","0","15","true","12","0","0","true","12","0","55","true","12","0","105","true","12","0","25","true","12","0","135","true"
"13","0","15","true","13","0","0","true","13","0","55","true","13","0","105","true","13","0","25","true","13","0","135","true"
"14","0","15","true","14","0","0","true","14","0","55","true","14","0","105","true","14","0","25","true","14","0","135","true"
"15","0","15","true","15","0","0","true","15","0","55","true","15","0","105","true","15","0","25","true","15","0","135","true"
